,Boiling Point (BP),Molar Volume (MV),Flash Point (FP),Polarizability (Pol),Molar Refractivity (MR),Density (D)
SO_mass,0.7827459852407734,0.8996452755753706,0.7681059237433503,0.9190023193546917,0.9308291827503685,-0.05554472408382239
SO3_mass,0.7789906395938617,0.894253560240986,0.7640968952943357,0.9120525577054286,0.9240614386580768,-0.05109434738429919
SO4_mass,0.6846228661217336,0.8194318803730292,0.6761464653546416,0.8151617306968656,0.8244370865219054,-0.060087429861407846
SO5_mass,0.6815557884624018,0.7828893116034504,0.657992164103791,0.7788924978836466,0.7891568494804407,-0.02214735142442413
SO6_mass,0.5076994711594819,0.6387105557198564,0.499806813870672,0.6105055635067854,0.6163043747295236,-0.03393042717791423
ESO_mass,0.7025740534018099,0.8385390416868354,0.6937839589695676,0.8379709376421227,0.8472197057973797,-0.06748409773110176
MESO_mass,-0.4282783133043328,-0.5240397095132265,-0.39206680455280396,-0.557589650724589,-0.5608230624676201,0.15636526467136833
SO_radius,0.8000277514238398,0.8984597021399269,0.7839638365565751,0.9205039475198619,0.9329808774437272,-0.029838528265068935
SO3_radius,0.7956692507380995,0.8955113104533367,0.7800860348132713,0.9158142825975157,0.9282848296553298,-0.02846527475564785
SO4_radius,0.7208798808569052,0.8341819723280348,0.7113010660801617,0.8353337396787189,0.8442959909159875,-0.025416777143353997
SO5_radius,0.6867833353317632,0.8035036525450185,0.6731958520480892,0.799972561772808,0.8068509054051284,-0.028129338573228396
SO6_radius,0.5008200317221762,0.6609552128341606,0.5071773265452735,0.6319978809951688,0.6328124282490365,-0.03144988669593695
ESO_radius,0.7414664996606142,0.8466679338717814,0.7293252863447713,0.8524697747718792,0.861959617894689,-0.02607745470363822
MESO_radius,-0.6594670217016805,-0.7169787722417915,-0.6177116883632604,-0.7517290769706826,-0.7581578365703532,0.059843514640029835
SO_en,0.7823708555106275,0.9047016254420945,0.7736709589445612,0.9221191988977703,0.9358149141827333,-0.04913686160014438
SO3_en,0.7790916561344386,0.8992677307934595,0.7699850389430373,0.9149895430246636,0.9286258014445327,-0.045124173149003695
SO4_en,0.683212815618766,0.8241055405723834,0.6825150766185594,0.8170162083658573,0.8284795400122457,-0.05152618164362985
SO5_en,0.6851971882603829,0.7927870276014185,0.6677298083166997,0.785760067244153,0.7923875781182397,-0.030765420298055193
SO6_en,0.510489533792352,0.6441938164320975,0.5107788346188882,0.6117618771663642,0.6158210147784078,-0.034279378929539084
ESO_en,0.6999612563714602,0.8431207432924885,0.6989192269660816,0.840156564795666,0.8521835916904393,-0.05796520068546923
MESO_en,-0.6641917496905912,-0.7306762423187232,-0.6296580417955822,-0.7604374785361753,-0.7686372509469162,0.06908728445064877
SO_ie,0.7848000229959053,0.8980215955823595,0.767475368127557,0.9147404337409082,0.928122905052869,-0.04244854701837773
SO3_ie,0.7809686717610692,0.8927073520808507,0.7636858240308467,0.9077009462618276,0.9210123558682212,-0.03913827210772266
SO4_ie,0.6844174334064095,0.8104674690486582,0.6716910500685803,0.8027063856124413,0.8134402823688566,-0.04109222237611177
SO5_ie,0.6815139850018187,0.7814107556732192,0.6582288000133384,0.7734205175223676,0.7793621263874124,-0.02704009554149382
SO6_ie,0.5090006136368532,0.6319860633231724,0.5030693551589144,0.5988203405782095,0.6022999673735603,-0.02979655085254494
ESO_ie,0.7021211802003987,0.8287914178503868,0.6877921912359699,0.8252351009350328,0.8364964981591958,-0.045731699454536055
MESO_ie,-0.6613956462690886,-0.7096339383717345,-0.6173527487035286,-0.7377659172357572,-0.7455650847855017,0.06484076319354956
